date,RSI
2019-01-28 09:51,34.6507
2019-01-28 09:52,36.7577
2019-01-28 09:53,33.3612
2019-01-28 09:54,36.4519
2019-01-28 09:55,34.3291
2019-01-28 09:56,37.2194
2019-01-28 09:57,39.1418
2019-01-28 09:58,45.1394
2019-01-28 09:59,46.3207
2019-01-28 10:00,48.8006
2019-01-28 10:01,47.048
2019-01-28 10:02,51.1567
2019-01-28 10:03,52.3771
2019-01-28 10:04,54.4724
2019-01-28 10:05,51.4111
2019-01-28 10:06,56.0349
2019-01-28 10:07,58.2563
2019-01-28 10:08,60.008
2019-01-28 10:09,62.3819
2019-01-28 10:10,62.1875
2019-01-28 10:11,59.9284
2019-01-28 10:12,59.0446
2019-01-28 10:13,58.186
2019-01-28 10:14,56.4257
2019-01-28 10:15,53.6812
2019-01-28 10:16,56.9846
2019-01-28 10:17,57.8879
2019-01-28 10:18,58.0426
2019-01-28 10:19,56.9425
2019-01-28 10:20,58.9098
2019-01-28 10:21,58.9098
2019-01-28 10:22,59.6019
2019-01-28 10:23,60.455
2019-01-28 10:24,56.9327
2019-01-28 10:25,57.4246
2019-01-28 10:26,54.674
2019-01-28 10:27,53.1897
2019-01-28 10:28,53.3162
2019-01-28 10:29,52.381
2019-01-28 10:30,51.8451
2019-01-28 10:31,48.3296
2019-01-28 10:32,50.5519
2019-01-28 10:33,49.0044
2019-01-28 10:34,47.6903
2019-01-28 10:35,44.704
2019-01-28 10:36,44.704
2019-01-28 10:37,44.8631
2019-01-28 10:38,40.2007
2019-01-28 10:39,46.5635
2019-01-28 10:40,43.2581
2019-01-28 10:41,50.9989
2019-01-28 10:42,50.5152
2019-01-28 10:43,53.5302
2019-01-28 10:44,53.7582
2019-01-28 10:45,47.1763
2019-01-28 10:46,45.0268
2019-01-28 10:47,43.3631
2019-01-28 10:48,41.1618
2019-01-28 10:49,39.2551
2019-01-28 10:50,36.6626
2019-01-28 10:51,38.2896
2019-01-28 10:52,37.1924
2019-01-28 10:53,35.9281
2019-01-28 10:54,39.044
2019-01-28 10:55,40.5655
2019-01-28 10:56,39.3257
2019-01-28 10:57,41.5209
2019-01-28 10:58,42.3733
2019-01-28 10:59,41.2741
2019-01-28 11:00,36.9935
2019-01-28 11:01,41.168
2019-01-28 11:02,38.6779
2019-01-28 11:03,38.2717
2019-01-28 11:04,36.7465
2019-01-28 11:05,36.6462
2019-01-28 11:06,42.3888
2019-01-28 11:07,39.9242
2019-01-28 11:08,40.5851
2019-01-28 11:09,43.2167
2019-01-28 11:10,46.3439
2019-01-28 11:11,47.261
2019-01-28 11:12,54.3753
2019-01-28 11:13,54.8684
2019-01-28 11:14,58.4155
2019-01-28 11:15,58.5526
2019-01-28 11:16,57.583
2019-01-28 11:17,58.7111
2019-01-28 11:18,54.6053
2019-01-28 11:19,51.5097
2019-01-28 11:20,52.3624
2019-01-28 11:21,56.6432
2019-01-28 11:22,55.6561
2019-01-28 11:23,55.6561
2019-01-28 11:24,56.3278
2019-01-28 11:25,60.6851
2019-01-28 11:26,61.417
2019-01-28 11:27,58.367
2019-01-28 11:28,57.6106
2019-01-28 11:29,53.9516
2019-01-28 11:30,51.2099
2019-01-28 11:31,51.5338
2019-01-28 11:32,52.2023
2019-01-28 11:33,57.7251
2019-01-28 11:34,51.4655
2019-01-28 11:35,53.2445
2019-01-28 11:36,51.9582
2019-01-28 11:37,55.4457
2019-01-28 11:38,49.679
2019-01-28 11:39,49.085
2019-01-28 11:40,50.3385
2019-01-28 11:41,50.6588
2019-01-28 11:42,49.6472
2019-01-28 11:43,52.6345
2019-01-28 11:44,50.3632
2019-01-28 11:45,51.8764
2019-01-28 11:46,55.6701
2019-01-28 11:47,52.7517
2019-01-28 11:48,42.4933
2019-01-28 11:49,43.1549
2019-01-28 11:50,44.1771
2019-01-28 11:51,42.8302
2019-01-28 11:52,45.2887
2019-01-28 11:53,44.008
2019-01-28 11:54,40.4002
2019-01-28 11:55,38.202
2019-01-28 11:56,38.3982
2019-01-28 11:57,43.1432
2019-01-28 11:58,45.613
2019-01-28 11:59,44.0535
2019-01-28 12:00,40.6571
2019-01-28 12:01,42.8683
2019-01-28 12:02,41.2504
2019-01-28 12:03,42.0184
2019-01-28 12:04,43.5708
2019-01-28 12:05,50.8453
2019-01-28 12:06,52.0836
2019-01-28 12:07,50.0909
2019-01-28 12:08,47.5381
2019-01-28 12:09,51.4455
2019-01-28 12:10,54.1416
2019-01-28 12:11,51.787
2019-01-28 12:12,52.4095
2019-01-28 12:13,49.3894
2019-01-28 12:14,49.3894
2019-01-28 12:15,46.1173
2019-01-28 12:16,52.2508
2019-01-28 12:17,53.039
2019-01-28 12:18,53.9689
2019-01-28 12:19,51.8091
2019-01-28 12:20,49.3818
2019-01-28 12:21,50.9371
2019-01-28 12:22,53.7621
2019-01-28 12:23,55.9599
2019-01-28 12:24,54.7816
2019-01-28 12:25,56.3908
2019-01-28 12:26,58.8525
2019-01-28 12:27,55.9436
2019-01-28 12:28,56.5987
2019-01-28 12:29,58.0567
2019-01-28 12:30,59.7783
2019-01-28 12:31,60.4051
2019-01-28 12:32,60.727
2019-01-28 12:33,58.2339
2019-01-28 12:34,56.7673
2019-01-28 12:35,58.5993
2019-01-28 12:36,55.6164
2019-01-28 12:37,55.1236
2019-01-28 12:38,48.36
2019-01-28 12:39,53.9157
2019-01-28 12:40,56.0509
2019-01-28 12:41,57.0916
2019-01-28 12:42,56.1549
2019-01-28 12:43,56.5306
2019-01-28 12:44,57.3002
2019-01-28 12:45,51.5378
2019-01-28 12:46,51.9619
