date,SMA
2019-01-23 09:50,154.4662
2019-01-23 09:51,154.5117
2019-01-23 09:52,154.5597
2019-01-23 09:53,154.6167
2019-01-23 09:54,154.6577
2019-01-23 09:55,154.6883
2019-01-23 09:56,154.7093
2019-01-23 09:57,154.7304
2019-01-23 09:58,154.7481
2019-01-23 09:59,154.7616
2019-01-23 10:00,154.7756
2019-01-23 10:01,154.7841
2019-01-23 10:02,154.7941
2019-01-23 10:03,154.8141
2019-01-23 10:04,154.8316
2019-01-23 10:05,154.8486
2019-01-23 10:06,154.8579
2019-01-23 10:07,154.8649
2019-01-23 10:08,154.865
2019-01-23 10:09,154.853
2019-01-23 10:10,154.8382
2019-01-23 10:11,154.8222
2019-01-23 10:12,154.7977
2019-01-23 10:13,154.7717
2019-01-23 10:14,154.7547
2019-01-23 10:15,154.7374
2019-01-23 10:16,154.7229
2019-01-23 10:17,154.7078
2019-01-23 10:18,154.6966
2019-01-23 10:19,154.6786
2019-01-23 10:20,154.6631
2019-01-23 10:21,154.6501
2019-01-23 10:22,154.6316
2019-01-23 10:23,154.5991
2019-01-23 10:24,154.5663
2019-01-23 10:25,154.5283
2019-01-23 10:26,154.4918
2019-01-23 10:27,154.4543
2019-01-23 10:28,154.4167
2019-01-23 10:29,154.3753
2019-01-23 10:30,154.3328
2019-01-23 10:31,154.2846
2019-01-23 10:32,154.2476
2019-01-23 10:33,154.2216
2019-01-23 10:34,154.1986
2019-01-23 10:35,154.1641
2019-01-23 10:36,154.1316
2019-01-23 10:37,154.1038
2019-01-23 10:38,154.0768
2019-01-23 10:39,154.0633
2019-01-23 10:40,154.0413
2019-01-23 10:41,154.0128
2019-01-23 10:42,153.9908
2019-01-23 10:43,153.9748
2019-01-23 10:44,153.9546
2019-01-23 10:45,153.9346
2019-01-23 10:46,153.9141
2019-01-23 10:47,153.8991
2019-01-23 10:48,153.8806
2019-01-23 10:49,153.8665
2019-01-23 10:50,153.8505
2019-01-23 10:51,153.837
2019-01-23 10:52,153.822
2019-01-23 10:53,153.799
2019-01-23 10:54,153.767
2019-01-23 10:55,153.7485
2019-01-23 10:56,153.7295
2019-01-23 10:57,153.7119
2019-01-23 10:58,153.6889
2019-01-23 10:59,153.6679
2019-01-23 11:00,153.6582
2019-01-23 11:01,153.6496
2019-01-23 11:02,153.6356
2019-01-23 11:03,153.6096
2019-01-23 11:04,153.5911
2019-01-23 11:05,153.5771
2019-01-23 11:06,153.5661
2019-01-23 11:07,153.5601
2019-01-23 11:08,153.5569
2019-01-23 11:09,153.5499
2019-01-23 11:10,153.5494
2019-01-23 11:11,153.5481
2019-01-23 11:12,153.5491
2019-01-23 11:13,153.5466
2019-01-23 11:14,153.5416
2019-01-23 11:15,153.5231
2019-01-23 11:16,153.5035
2019-01-23 11:17,153.4723
2019-01-23 11:18,153.4393
2019-01-23 11:19,153.3973
2019-01-23 11:20,153.358
2019-01-23 11:21,153.3251
2019-01-23 11:22,153.2941
2019-01-23 11:23,153.268
2019-01-23 11:24,153.2365
2019-01-23 11:25,153.1955
2019-01-23 11:26,153.16
2019-01-23 11:27,153.117
2019-01-23 11:28,153.0812
2019-01-23 11:29,153.0487
2019-01-23 11:30,153.0192
2019-01-23 11:31,152.9885
2019-01-23 11:32,152.9525
2019-01-23 11:33,152.9197
2019-01-23 11:34,152.8985
2019-01-23 11:35,152.8935
2019-01-23 11:36,152.88
2019-01-23 11:37,152.8716
2019-01-23 11:38,152.8691
2019-01-23 11:39,152.8701
2019-01-23 11:40,152.8721
2019-01-23 11:41,152.8691
2019-01-23 11:42,152.8621
2019-01-23 11:43,152.8596
2019-01-23 11:44,152.8561
2019-01-23 11:45,152.8591
2019-01-23 11:46,152.8511
2019-01-23 11:47,152.8411
2019-01-23 11:48,152.8288
2019-01-23 11:49,152.8183
2019-01-23 11:50,152.7973
2019-01-23 11:51,152.7721
2019-01-23 11:52,152.7526
2019-01-23 11:53,152.7258
2019-01-23 11:54,152.6931
2019-01-23 11:55,152.6476
2019-01-23 11:56,152.6043
2019-01-23 11:57,152.5778
2019-01-23 11:58,152.5488
2019-01-23 11:59,152.5143
2019-01-23 12:00,152.4778
2019-01-23 12:01,152.4508
2019-01-23 12:02,152.4253
2019-01-23 12:03,152.3989
2019-01-23 12:04,152.3764
2019-01-23 12:05,152.3514
2019-01-23 12:06,152.3289
2019-01-23 12:07,152.3159
2019-01-23 12:08,152.2886
2019-01-23 12:09,152.2441
2019-01-23 12:10,152.2181
2019-01-23 12:11,152.1961
2019-01-23 12:12,152.1691
2019-01-23 12:13,152.1491
2019-01-23 12:14,152.1296
2019-01-23 12:15,152.1166
2019-01-23 12:16,152.1009
2019-01-23 12:17,152.0734
2019-01-23 12:18,152.0584
2019-01-23 12:19,152.0412
2019-01-23 12:20,152.0267
2019-01-23 12:21,152.0087
2019-01-23 12:22,151.9987
2019-01-23 12:23,151.9897
2019-01-23 12:24,151.9807
2019-01-23 12:25,151.9817
2019-01-23 12:26,151.9772
2019-01-23 12:27,151.9787
2019-01-23 12:28,151.9907
2019-01-23 12:29,152.0185
2019-01-23 12:30,152.034
2019-01-23 12:31,152.0555
2019-01-23 12:32,152.0808
2019-01-23 12:33,152.1052
2019-01-23 12:34,152.1302
2019-01-23 12:35,152.1522
2019-01-23 12:36,152.1812
2019-01-23 12:37,152.2117
2019-01-23 12:38,152.2307
2019-01-23 12:39,152.2495
2019-01-23 12:40,152.269
2019-01-23 12:41,152.281
2019-01-23 12:42,152.2855
2019-01-23 12:43,152.3015
2019-01-23 12:44,152.31
2019-01-23 12:45,152.3163
2019-01-23 12:46,152.3358
2019-01-23 12:47,152.3443
2019-01-23 12:48,152.3573
2019-01-23 12:49,152.377
2019-01-23 12:50,152.3925
2019-01-23 12:51,152.4005
2019-01-23 12:52,152.4097
2019-01-23 12:53,152.4223
2019-01-23 12:54,152.4383
2019-01-23 12:55,152.4483
2019-01-23 12:56,152.4558
2019-01-23 12:57,152.4658
2019-01-23 12:58,152.4832
2019-01-23 12:59,152.5107
2019-01-23 13:00,152.5277
2019-01-23 13:01,152.5507
2019-01-23 13:02,152.5692
2019-01-23 13:03,152.5717
2019-01-23 13:04,152.5712
2019-01-23 13:05,152.568
2019-01-23 13:06,152.556
2019-01-23 13:07,152.545
2019-01-23 13:08,152.5255
2019-01-23 13:09,152.505
2019-01-23 13:10,152.504
2019-01-23 13:11,152.499
2019-01-23 13:12,152.492
2019-01-23 13:13,152.479
