date,SlowD,SlowK
2019-01-28 11:54,91.8932,81.1736
2019-01-28 11:55,79.0744,61.5434
2019-01-28 11:56,59.1673,34.785
2019-01-28 11:57,42.2846,30.5254
2019-01-28 11:58,38.4886,50.1555
2019-01-28 11:59,45.9917,57.2942
2019-01-28 12:00,50.0608,42.7327
2019-01-28 12:01,36.4754,9.3993
2019-01-28 12:02,17.7706,1.1798
2019-01-28 12:03,3.5264,0.0
2019-01-28 12:04,2.0188,4.8767
2019-01-28 12:05,12.1403,31.5441
2019-01-28 12:07,28.4725,48.9968
2019-01-28 12:08,51.498,73.9532
2019-01-28 12:10,67.8564,80.6191
2019-01-28 12:11,80.5181,86.9819
2019-01-28 12:12,80.6583,74.374
2019-01-28 12:13,78.151,73.097
2019-01-28 12:14,68.0948,56.8133
2019-01-28 12:15,60.8615,52.6743
2019-01-28 12:16,50.2263,41.1913
2019-01-28 12:17,53.6195,66.993
2019-01-28 12:19,61.5616,76.5004
2019-01-28 12:20,72.126,72.8845
2019-01-28 12:21,67.4617,53.0001
2019-01-28 12:22,59.3068,52.0358
2019-01-28 12:23,52.1676,51.4668
2019-01-28 12:24,51.9108,52.23
2019-01-28 12:25,52.8842,54.9557
2019-01-28 12:26,59.6954,71.9004
2019-01-28 12:27,71.0766,86.3738
2019-01-28 12:28,83.6255,92.6023
2019-01-28 12:29,90.5261,92.6023
2019-01-28 12:30,94.1516,97.2502
2019-01-28 12:31,90.312,81.0835
2019-01-28 12:32,76.9407,52.4884
2019-01-28 12:33,50.909,19.1551
2019-01-28 12:34,27.7563,11.6254
2019-01-28 12:35,19.3807,27.3616
2019-01-28 12:36,29.0914,48.2872
2019-01-28 12:37,50.1274,74.7333
2019-01-28 12:38,67.259,78.7564
2019-01-28 12:39,80.96,89.3902
2019-01-28 12:40,85.8456,89.3902
2019-01-28 12:41,92.3355,98.2261
2019-01-28 12:42,91.6989,87.4805
2019-01-28 12:43,89.7037,83.4047
2019-01-28 12:44,84.7633,83.4047
2019-01-28 12:45,78.9665,70.0901
2019-01-28 12:47,73.1091,65.8325
2019-01-28 12:48,67.2517,65.8325
2019-01-28 12:49,74.4439,91.6667
2019-01-28 12:50,85.8331,100.0
2019-01-28 12:51,96.467,97.7344
2019-01-28 12:53,88.6553,68.2315
2019-01-28 12:54,69.4084,42.2592
2019-01-28 12:55,40.5608,11.1915
2019-01-28 12:56,20.2706,7.361
2019-01-28 12:57,7.2875,3.31
2019-01-28 12:58,4.6603,3.31
2019-01-28 12:59,3.31,3.31
2019-01-28 13:00,7.1189,14.7368
2019-01-28 13:01,10.9279,14.7368
2019-01-28 13:02,14.7368,14.7368
2019-01-28 13:03,9.8246,0.0
2019-01-28 13:04,4.9123,0.0
2019-01-28 13:05,8.3577,25.073
2019-01-28 13:07,27.8265,58.4064
2019-01-28 13:08,58.4064,91.7397
2019-01-28 13:09,81.6176,94.7067
2019-01-28 13:10,93.7177,94.7067
2019-01-28 13:11,94.7067,94.7067
2019-01-28 13:12,93.8971,92.2779
2019-01-28 13:13,93.0875,92.2779
2019-01-28 13:14,89.7727,84.7623
2019-01-28 13:15,88.8683,89.5648
2019-01-28 13:16,86.1603,84.1536
2019-01-28 13:17,87.323,88.2506
2019-01-28 13:18,81.9202,73.3564
2019-01-28 13:19,80.1249,78.7677
2019-01-28 13:21,77.538,80.4899
2019-01-28 13:22,85.8537,98.3037
2019-01-28 13:23,92.3658,98.3037
2019-01-28 13:24,94.9556,88.2594
2019-01-28 13:25,89.9609,83.3195
2019-01-28 13:26,83.2522,78.1776
2019-01-28 13:27,83.8051,89.9182
2019-01-28 13:28,82.645,79.8391
2019-01-28 13:29,74.0729,52.4614
2019-01-28 13:30,53.1853,27.2555
2019-01-28 13:31,40.6638,42.2745
2019-01-28 13:32,47.6352,73.3756
2019-01-28 13:33,71.4105,98.5815
2019-01-28 13:34,90.1795,98.5815
2019-01-28 13:35,99.0543,100.0
2019-01-28 13:36,99.5272,100.0
2019-01-28 13:37,95.5826,86.7478
2019-01-28 13:38,85.7497,70.5012
2019-01-28 13:39,67.6263,45.63
2019-01-28 13:40,47.2267,25.5488
2019-01-28 13:41,26.547,8.4621
2019-01-28 13:42,13.8767,7.6193
2019-01-28 13:43,14.9898,28.8881
2019-01-28 13:44,30.5797,55.2317
2019-01-28 13:45,54.281,78.7232
2019-01-28 13:46,67.8387,69.5612
2019-01-28 13:47,74.9451,76.551
2019-01-28 13:48,73.3746,74.0116
2019-01-28 13:49,81.9336,95.2381
2019-01-28 13:50,88.1626,95.2381
2019-01-28 13:51,94.8644,94.1169
2019-01-28 13:52,92.7259,88.8227
2019-01-28 13:53,86.9854,78.0166
2019-01-28 13:54,72.4686,50.5664
2019-01-28 13:55,50.3701,22.5273
2019-01-28 13:56,24.3646,0.0
2019-01-28 13:57,7.5091,0.0
2019-01-28 13:58,0.0,0.0
2019-01-28 13:59,0.0,0.0
2019-01-28 14:00,0.0,0.0
2019-01-28 14:01,8.6497,25.9492
2019-01-28 14:02,17.2995,25.9492
2019-01-28 14:03,25.9492,25.9492
2019-01-28 14:04,17.2995,0.0
2019-01-28 14:05,8.6497,0.0
2019-01-28 14:06,0.0,0.0
2019-01-28 14:07,0.0,0.0
2019-01-28 14:08,0.4543,1.363
2019-01-28 14:09,2.5283,6.2219
2019-01-28 14:10,14.9009,37.1179
2019-01-28 14:11,32.42,53.9203
2019-01-28 14:12,46.6999,49.0614
2019-01-28 14:13,47.2449,38.753
2019-01-28 14:14,40.5471,33.827
2019-01-28 14:15,45.885,65.0749
2019-01-28 14:16,53.4605,61.4795
2019-01-28 14:17,68.621,79.3084
2019-01-28 14:18,74.0606,81.3938
2019-01-28 14:19,85.1253,94.6737
2019-01-28 14:20,87.0244,85.0057
2019-01-28 14:21,82.0932,66.6003
2019-01-28 14:22,66.5382,48.0084
2019-01-28 14:23,47.0723,26.608
2019-01-28 14:24,31.5205,19.9451
2019-01-28 14:25,19.3908,11.6192
2019-01-28 14:26,18.3477,23.4789
2019-01-28 14:27,27.8818,48.5473
2019-01-28 14:28,50.1842,78.5264
2019-01-28 14:29,69.709,82.0532
2019-01-28 14:30,80.8776,82.0532
2019-01-28 14:31,82.0532,82.0532
2019-01-28 14:32,88.0355,100.0
2019-01-28 14:33,94.0177,100.0
2019-01-28 14:34,99.5626,98.6879
2019-01-28 14:35,99.1253,98.6879
2019-01-28 14:36,95.0226,87.6921
2019-01-28 14:37,85.5532,70.2795
2019-01-28 14:38,64.9726,36.9461
2019-01-28 14:39,48.4082,37.999
2019-01-28 14:40,39.7389,44.2715
2019-01-28 14:41,50.0826,67.9772
2019-01-28 14:42,52.2785,44.5868
2019-01-28 14:43,45.4233,23.7057
2019-01-28 14:44,29.9141,21.4498
2019-01-28 14:45,25.7071,31.9658
2019-01-28 14:46,39.5716,65.2991
2019-01-28 14:47,57.1988,74.3316
2019-01-28 14:48,74.6534,84.3296
2019-01-28 14:49,78.6934,77.4191
2019-01-28 14:50,80.6729,80.27
2019-01-28 14:51,80.5438,83.9423
2019-01-28 14:52,83.82,87.2477
2019-01-28 14:53,83.1462,78.2485
2019-01-28 14:54,77.0661,65.702
2019-01-28 14:55,59.9748,35.9739
2019-01-28 14:56,44.9293,33.112
2019-01-28 14:57,37.8296,44.403
2019-01-28 14:58,44.3028,55.3934
2019-01-28 14:59,48.4931,45.6828
2019-01-28 15:00,41.2761,22.7521
2019-01-28 15:01,32.2577,28.3381
2019-01-28 15:02,33.6667,49.9098
2019-01-28 15:03,51.0152,74.7977
2019-01-28 15:04,67.741,78.5156
2019-01-28 15:05,75.5725,73.4043
2019-01-28 15:06,66.8121,48.5164
2019-01-28 15:07,50.0476,28.222
2019-01-28 15:08,26.1105,1.5931
2019-01-28 15:09,12.2056,6.8017
2019-01-28 15:10,5.9463,9.444
2019-01-28 15:11,12.3801,20.8946
2019-01-28 15:12,15.3415,15.686
2019-01-28 15:13,27.6525,46.377
2019-01-28 15:14,41.1829,61.4856
2019-01-28 15:15,67.5605,94.8189
2019-01-28 15:16,75.8037,71.1065
2019-01-28 15:17,69.6266,42.9543
2019-01-28 15:18,41.4664,10.3385
2019-01-28 15:19,18.3024,1.6145
2019-01-28 15:20,7.7317,11.242
2019-01-28 15:21,18.9047,43.8577
2019-01-28 15:22,35.3791,51.0376
2019-01-28 15:23,49.9797,55.0438
2019-01-28 15:24,49.4346,42.2223
2019-01-28 15:25,50.4512,54.0875
2019-01-28 15:26,48.2405,48.4117
2019-01-28 15:27,45.0551,32.666
2019-01-28 15:28,31.2672,12.7239
2019-01-28 15:29,18.0728,8.8285
2019-01-28 15:30,8.5383,4.0625
2019-01-28 15:31,7.0009,8.1117
2019-01-28 15:32,5.4078,4.0493
2019-01-28 15:33,5.4034,4.0493
2019-01-28 15:34,8.0361,16.0099
2019-01-28 15:35,19.6414,38.865
2019-01-28 15:36,41.9341,70.9273
2019-01-28 15:37,62.7335,78.4081
2019-01-28 15:38,75.4705,77.0762
2019-01-28 15:39,69.6105,53.3472
2019-01-28 15:40,64.5378,63.1899
2019-01-28 15:41,52.7346,41.6667
2019-01-28 15:42,48.7171,41.2947
2019-01-28 15:43,33.4655,17.435
2019-01-28 15:44,25.3882,17.435
2019-01-28 15:45,14.8713,9.7438
2019-01-28 15:46,16.3297,21.8103
2019-01-28 15:47,20.867,31.047
2019-01-28 15:48,34.033,49.2416
2019-01-28 15:49,37.063,30.9004
2019-01-28 15:50,33.9353,21.6638
2019-01-28 15:51,18.5877,3.199
2019-01-28 15:52,8.2876,0.0
2019-01-28 15:53,8.1128,21.1393
2019-01-28 15:54,24.5809,52.6034
2019-01-28 15:55,51.7967,81.6475
2019-01-28 15:56,72.1068,82.0697
2019-01-28 15:57,79.0711,73.4961
2019-01-28 15:58,76.6825,74.4818
2019-01-28 15:59,77.0274,83.1042
2019-01-28 16:00,83.5914,93.1883
2019-01-29 09:31,90.5404,95.3286
2019-01-29 09:32,88.7051,77.5985
2019-01-29 09:33,76.2366,55.7828
2019-01-29 09:34,53.828,28.1028
2019-01-29 09:35,38.7016,32.2193
2019-01-29 09:36,30.5436,31.3088
2019-01-29 09:37,30.1156,26.8187
2019-01-29 09:38,23.7606,13.1543
2019-01-29 09:39,14.2929,2.9058
2019-01-29 09:40,6.7736,4.2606
2019-01-29 09:41,4.6936,6.9142
2019-01-29 09:42,8.8409,15.3478
2019-01-29 09:43,19.3413,35.7618
2019-01-29 09:44,29.8931,38.5697
2019-01-29 09:45,39.7935,45.049
2019-01-29 09:46,42.1796,42.9202
2019-01-29 09:47,51.0288,65.1172
2019-01-29 09:48,63.8584,83.5377
2019-01-29 09:49,81.0885,94.6106
2019-01-29 09:50,90.125,92.2268
2019-01-29 09:51,89.0381,80.277
2019-01-29 09:52,74.0226,49.5641
2019-01-29 09:53,50.4082,21.3835
2019-01-29 09:54,23.6492,0.0
2019-01-29 09:55,7.1278,0.0
2019-01-29 09:56,1.7128,5.1385
2019-01-29 09:57,9.3539,22.9234
2019-01-29 09:59,16.9951,22.9234
2019-01-29 10:01,32.3216,51.1182
2019-01-29 10:02,46.9027,66.6667
2019-01-29 10:03,72.595,100.0
2019-01-29 10:04,88.8889,100.0
2019-01-29 10:05,99.0525,97.1576
2019-01-29 10:06,89.3352,70.8478
2019-01-29 10:07,68.5067,37.5145
2019-01-29 10:08,38.462,7.0236
2019-01-29 10:09,14.846,0.0
2019-01-29 10:10,2.3412,0.0
2019-01-29 10:11,-0.0,0.0
2019-01-29 10:12,3.101,9.303
2019-01-29 10:13,7.3207,12.6591
2019-01-29 10:14,14.1697,20.5471
2019-01-29 10:15,14.8168,11.2441
2019-01-29 10:16,13.2264,7.888
2019-01-29 10:17,10.0221,10.9341
2019-01-29 10:18,12.4255,18.4544
2019-01-29 10:19,27.0587,51.7877
2019-01-29 10:20,48.143,74.1869
2019-01-29 10:21,74.2499,96.775
2019-01-29 10:22,80.5936,70.819
2019-01-29 10:23,71.9452,48.2415
2019-01-29 10:24,53.0716,40.1543
2019-01-29 10:25,44.1922,44.1807
2019-01-29 10:26,50.3644,66.7583
2019-01-29 10:27,63.0031,78.0705
2019-01-29 10:28,81.6096,100.0
2019-01-29 10:30,92.6902,100.0
2019-01-29 10:31,100.0,100.0
2019-01-29 10:32,96.5431,89.6294
2019-01-29 10:33,91.9225,86.1381
2019-01-29 10:34,76.1908,52.8048
2019-01-29 10:35,56.2616,29.842
2019-01-29 10:36,27.5489,0.0
2019-01-29 10:37,9.9473,0.0
2019-01-29 10:38,0.3006,0.9018
2019-01-29 10:39,0.6012,0.9018
2019-01-29 10:40,3.9099,9.9261
2019-01-29 10:42,17.7285,42.3577
2019-01-29 10:43,35.3938,53.8975
2019-01-29 10:44,52.67,61.755
2019-01-29 10:45,49.4422,32.6742
2019-01-29 10:46,38.9561,22.4391
2019-01-29 10:47,21.5527,9.5449
2019-01-29 10:48,12.4254,5.2922
2019-01-29 10:49,6.2749,3.9876
2019-01-29 10:50,5.7114,7.8543
2019-01-29 10:51,6.5654,7.8543
2019-01-29 10:52,7.8543,7.8543
2019-01-29 10:53,5.2362,0.0
2019-01-29 10:54,2.6181,0.0
2019-01-29 10:55,1.1153,3.346
2019-01-29 10:56,2.561,4.3368
2019-01-29 10:57,4.1922,4.8938
2019-01-29 10:58,3.5928,1.5478
2019-01-29 10:59,11.4086,27.7843
2019-01-29 11:00,29.9642,60.5606
2019-01-29 11:01,56.2676,80.4581
2019-01-29 11:02,74.0525,81.1387
2019-01-29 11:03,77.0162,69.4519
2019-01-29 11:04,75.4941,75.8917
2019-01-29 11:05,73.9078,76.3797
2019-01-29 11:06,78.5614,83.4128
2019-01-29 11:07,83.4005,90.4089
2019-01-29 11:08,89.7227,95.3463
2019-01-29 11:09,94.3177,97.1979
2019-01-29 11:10,96.5807,97.1979
2019-01-29 11:11,97.1979,97.1979
2019-01-29 11:12,98.1319,100.0
2019-01-29 11:13,99.066,100.0
2019-01-29 11:14,95.5228,86.5683
2019-01-29 11:15,81.1278,56.8152
2019-01-29 11:16,64.7939,50.9983
2019-01-29 11:17,51.0761,45.4148
2019-01-29 11:18,49.9037,53.298
2019-01-29 11:19,51.0503,54.4381
2019-01-29 11:20,54.189,54.8307
2019-01-29 11:21,51.7757,46.0581
2019-01-29 11:22,40.7315,21.3056
2019-01-29 11:24,35.0308,37.7286
2019-01-29 11:25,33.1534,40.4261
2019-01-29 11:26,38.2256,36.522
2019-01-29 11:27,29.8771,12.683
2019-01-29 11:28,22.7997,19.1941
2019-01-29 11:29,28.1349,52.5275
2019-01-29 11:30,44.3385,61.2939
2019-01-29 11:31,60.5151,67.724
2019-01-29 11:32,65.5806,67.724
2019-01-29 11:33,68.8323,71.0487
2019-01-29 11:35,66.8347,61.7312
2019-01-29 11:36,64.8371,61.7312
2019-01-29 11:37,66.3804,75.6788
2019-01-29 11:38,77.7743,95.9129
2019-01-29 11:39,89.1682,95.9129
2019-01-29 11:40,95.9129,95.9129
2019-01-29 11:41,86.1642,66.6667
2019-01-29 11:42,68.7892,43.7879
2019-01-29 11:43,46.7545,29.8088
2019-01-29 11:44,40.1715,46.9179
2019-01-29 11:46,47.103,64.5824
2019-01-29 11:47,54.3893,51.6676
2019-01-29 11:48,50.2695,34.5585
2019-01-29 11:49,32.242,10.5
2019-01-29 11:50,16.373,4.0606
2019-01-29 11:51,6.2071,4.0606
2019-01-29 11:52,13.8182,33.3333
2019-01-29 11:53,34.6869,66.6667
2019-01-29 11:54,66.6667,100.0
2019-01-29 11:56,78.2182,67.9881
2019-01-29 11:58,78.6587,67.9881
2019-01-29 11:59,66.3746,63.1478
2019-01-29 12:00,67.151,70.3171
2019-01-29 12:01,61.0743,49.7582
2019-01-29 12:02,49.1081,27.2491
2019-01-29 12:04,32.5574,20.6649
2019-01-29 12:05,23.9232,23.8557
2019-01-29 12:07,31.9086,51.2051
2019-01-29 12:08,49.6816,73.9838
2019-01-29 12:09,72.1802,91.3518
2019-01-29 12:10,81.6186,79.5201
2019-01-29 12:11,86.3467,88.1682
2019-01-29 12:12,81.6168,77.1621
2019-01-29 12:13,79.7896,74.0386
2019-01-29 12:14,74.3678,71.9027
2019-01-29 12:15,76.2834,82.9088
2019-01-29 12:16,81.2896,89.0572
