date,1. open,2. high,3. low,4. close,5. volume
2019-01-18 09:31:00,149.795,150.0,149.63,149.78,2056009.0
2019-01-18 09:32:00,149.684,149.79,149.54,149.54,169905.0
2019-01-18 09:33:00,149.6052,149.73,149.55,149.7,78883.0
2019-01-18 09:34:00,149.66,150.0,149.61,149.61,210478.0
2019-01-18 09:35:00,149.8499,149.8858,149.27,149.27,111360.0
2019-01-18 09:36:00,149.24,149.83,149.14,149.83,171934.0
2019-01-18 09:37:00,149.64,149.67,149.43,149.43,64267.0
2019-01-18 09:38:00,149.43,149.78,149.4,149.53,110715.0
2019-01-18 09:39:00,149.58,149.61,149.36,149.4038,50020.0
2019-01-18 09:40:00,149.37,149.405,149.25,149.2706,66190.0
2019-01-18 09:41:00,149.26,149.38,148.831,148.85,129196.0
2019-01-18 09:42:00,148.86,149.0,148.83,148.9073,97753.0
2019-01-18 09:43:00,148.88,149.08,148.88,149.08,76536.0
2019-01-18 09:44:00,149.12,149.35,149.07,149.27,88090.0
2019-01-18 09:45:00,149.26,149.4,149.23,149.28,54165.0
2019-01-18 09:46:00,149.31,149.41,149.16,149.22,67323.0
2019-01-18 09:47:00,149.22,149.275,149.22,149.275,37407.0
2019-01-18 09:48:00,149.285,149.35,149.2,149.28,63563.0
2019-01-18 09:49:00,149.32,149.46,149.31,149.31,48787.0
2019-01-18 09:50:00,149.2,149.26,148.92,149.22,99310.0
2019-01-18 09:51:00,149.2,149.28,149.1982,149.28,27677.0
2019-01-18 09:52:00,149.31,149.31,149.15,149.26,54890.0
2019-01-18 09:53:00,149.29,149.49,149.265,149.3562,91017.0
2019-01-18 09:54:00,149.45,149.5,149.33,149.4,52544.0
2019-01-18 09:55:00,149.402,149.56,149.37,149.47,128393.0
2019-01-18 09:56:00,149.44,149.53,149.38,149.43,97935.0
2019-01-18 09:57:00,149.4,149.4,149.26,149.27,53346.0
2019-01-18 09:58:00,149.28,149.43,149.28,149.4,61095.0
2019-01-18 09:59:00,149.45,149.45,149.4,149.41,36399.0
2019-01-18 10:00:00,149.38,149.41,149.3,149.41,67303.0
2019-01-18 10:01:00,149.43,149.6784,149.4,149.64,119490.0
2019-01-18 10:02:00,149.68,149.81,149.58,149.58,86708.0
2019-01-18 10:03:00,149.52,149.555,149.42,149.42,42172.0
2019-01-18 10:04:00,149.4801,149.6212,149.4,149.62,89763.0
2019-01-18 10:05:00,149.6402,149.75,149.63,149.7,47344.0
2019-01-18 10:06:00,149.69,149.69,149.54,149.62,39345.0
2019-01-18 10:07:00,149.66,149.69,149.51,149.69,70632.0
2019-01-18 10:08:00,149.74,149.74,149.6025,149.6025,32018.0
2019-01-18 10:09:00,149.57,149.69,149.57,149.63,37712.0
2019-01-18 10:10:00,149.61,149.7,149.5858,149.6235,67570.0
2019-01-18 10:11:00,149.69,149.69,149.6,149.64,24771.0
2019-01-18 10:12:00,149.67,149.68,149.59,149.59,35371.0
2019-01-18 10:13:00,149.585,149.69,149.5348,149.625,58544.0
2019-01-18 10:14:00,149.6,149.6,149.44,149.58,52432.0
2019-01-18 10:15:00,149.59,149.59,149.52,149.59,34188.0
2019-01-18 10:16:00,149.65,149.67,149.625,149.625,42353.0
2019-01-18 10:17:00,149.56,149.63,149.56,149.62,28101.0
2019-01-18 10:18:00,149.56,149.57,149.435,149.465,44474.0
2019-01-18 10:19:00,149.57,149.69,149.57,149.615,97025.0
2019-01-18 10:20:00,149.6,150.0,149.6,149.74,325636.0
2019-01-18 10:21:00,149.69,149.94,149.61,149.89,89095.0
2019-01-18 10:22:00,149.79,150.0,149.75,149.99,83066.0
2019-01-18 10:23:00,150.0,150.0,149.88,149.9602,109955.0
2019-01-18 10:24:00,150.03,150.17,149.98,150.14,104998.0
2019-01-18 10:25:00,150.18,150.29,150.16,150.29,71762.0
2019-01-18 10:26:00,150.3,150.37,150.195,150.195,102760.0
2019-01-18 10:27:00,150.195,150.285,150.155,150.25,90677.0
2019-01-18 10:28:00,150.26,150.31,150.1556,150.1556,70787.0
2019-01-18 10:29:00,150.2,150.29,150.1907,150.205,66978.0
2019-01-18 10:30:00,150.27,150.32,150.26,150.31,53638.0
2019-01-18 10:31:00,150.34,150.45,150.26,150.4,61786.0
2019-01-18 10:32:00,150.42,150.65,150.42,150.43,385480.0
2019-01-18 10:33:00,150.44,150.57,150.44,150.46,82581.0
2019-01-18 10:34:00,150.4865,150.56,150.48,150.56,79921.0
2019-01-18 10:35:00,150.55,150.57,150.47,150.57,86587.0
2019-01-18 10:36:00,150.56,150.58,150.5,150.5,44793.0
2019-01-18 10:37:00,150.495,150.61,150.495,150.61,101673.0
2019-01-18 10:38:00,150.65,150.91,150.62,150.88,163033.0
2019-01-18 10:39:00,150.9,150.95,150.7,150.79,210974.0
2019-01-18 10:40:00,150.765,150.765,150.73,150.74,18180.0
2019-01-18 10:41:00,150.71,150.855,150.71,150.8,42614.0
2019-01-18 10:42:00,150.78,150.89,150.77,150.89,32513.0
2019-01-18 10:43:00,150.86,150.9251,150.83,150.8767,42490.0
2019-01-18 10:44:00,150.88,151.1,150.88,151.06,167509.0
2019-01-18 10:45:00,151.04,151.19,150.95,151.14,85209.0
2019-01-18 10:46:00,151.22,151.26,151.1,151.22,127906.0
2019-01-18 10:47:00,151.26,151.43,151.26,151.39,159684.0
2019-01-18 10:48:00,151.4,151.56,151.38,151.55,132723.0
2019-01-18 10:49:00,151.6,151.6,151.43,151.46,88392.0
2019-01-18 10:50:00,151.43,151.43,151.21,151.24,122554.0
2019-01-18 10:51:00,151.265,151.28,151.12,151.16,74606.0
2019-01-18 10:52:00,151.18,151.3399,151.175,151.33,84372.0
2019-01-18 10:53:00,151.35,151.51,151.17,151.48,78903.0
2019-01-18 10:54:00,151.49,151.52,151.415,151.48,58375.0
2019-01-18 10:55:00,151.46,151.5388,151.44,151.49,51463.0
2019-01-18 10:56:00,151.54,151.625,151.47,151.61,96327.0
2019-01-18 10:57:00,151.6323,151.75,151.6323,151.72,115127.0
2019-01-18 10:58:00,151.76,151.76,151.57,151.69,126248.0
2019-01-18 10:59:00,151.7,151.78,151.69,151.72,110546.0
2019-01-18 11:00:00,151.73,151.78,151.71,151.78,104352.0
2019-01-18 11:01:00,151.78,151.8,151.74,151.78,96630.0
2019-01-18 11:02:00,151.8,152.01,151.8,151.96,176845.0
2019-01-18 11:03:00,151.95,152.03,151.95,151.99,80008.0
2019-01-18 11:04:00,151.97,152.1,151.88,152.1,98413.0
2019-01-18 11:05:00,152.05,152.33,152.05,152.255,166737.0
2019-01-18 11:06:00,152.3,152.39,152.26,152.29,128333.0
2019-01-18 11:07:00,152.25,152.33,152.24,152.28,78418.0
2019-01-18 11:08:00,152.2698,152.27,152.14,152.26,97105.0
2019-01-18 11:09:00,152.2495,152.35,152.245,152.32,103906.0
2019-01-18 11:10:00,152.265,152.32,152.2,152.32,83377.0
2019-01-18 11:11:00,152.32,152.38,151.93,151.944,124157.0
2019-01-18 11:12:00,151.94,151.97,151.7604,151.83,212819.0
2019-01-18 11:13:00,151.8162,151.85,151.72,151.75,55556.0
2019-01-18 11:14:00,151.79,151.88,151.74,151.755,165485.0
2019-01-18 11:15:00,151.77,151.795,151.6935,151.7619,44046.0
2019-01-18 11:16:00,151.76,151.831,151.67,151.81,67657.0
