date,1. open,2. high,3. low,4. close,5. volume
2019-02-04 09:32:00,199.16,199.16,199.16,199.16,34081.0
2019-02-04 09:33:00,199.1851,199.1851,199.1851,199.1851,3904.0
2019-02-04 09:34:00,199.0,199.0,198.99,198.99,6018.0
2019-02-04 09:35:00,198.73,198.73,198.73,198.73,2303.0
2019-02-04 09:36:00,198.55,198.636,198.55,198.636,6581.0
2019-02-04 09:37:00,198.71,198.71,198.32,198.32,10577.0
2019-02-04 09:38:00,198.28,198.28,197.87,197.87,11161.0
2019-02-04 09:39:00,197.805,197.805,197.805,197.805,1874.0
2019-02-04 09:40:00,197.92,197.92,197.67,197.67,5006.0
2019-02-04 09:41:00,197.73,197.73,197.7,197.7,6317.0
2019-02-04 09:42:00,197.65,197.65,197.58,197.58,4610.0
2019-02-04 09:43:00,197.78,197.78,197.78,197.78,3759.0
2019-02-04 09:44:00,198.0,198.0,197.97,197.98,5609.0
2019-02-04 09:45:00,198.07,198.07,198.07,198.07,1851.0
2019-02-04 09:46:00,198.0,198.0,198.0,198.0,3661.0
2019-02-04 09:47:00,198.0,198.0,198.0,198.0,1639.0
2019-02-04 09:48:00,197.94,198.24,197.94,198.24,10082.0
2019-02-04 09:49:00,198.48,198.48,198.44,198.44,5917.0
2019-02-04 09:50:00,198.6308,198.6308,198.6308,198.6308,1773.0
2019-02-04 09:51:00,198.54,198.54,198.335,198.335,3226.0
2019-02-04 09:52:00,198.63,198.63,198.47,198.47,5349.0
2019-02-04 09:53:00,198.45,198.45,198.45,198.45,1048.0
2019-02-04 09:54:00,198.42,198.42,198.245,198.245,6456.0
2019-02-04 09:55:00,198.22,198.22,198.22,198.22,1622.0
2019-02-04 09:56:00,198.065,198.08,197.98,197.98,5547.0
2019-02-04 09:57:00,197.97,197.97,197.79,197.79,5245.0
2019-02-04 09:58:00,197.85,197.915,197.85,197.915,4896.0
2019-02-04 09:59:00,198.19,198.19,198.19,198.19,4613.0
2019-02-04 10:00:00,198.015,198.015,198.015,198.015,1814.0
2019-02-04 10:01:00,197.8,197.8,197.47,197.48,21512.0
2019-02-04 10:02:00,197.24,197.24,197.14,197.14,9749.0
2019-02-04 10:03:00,197.28,197.41,197.28,197.41,7827.0
2019-02-04 10:04:00,197.56,197.56,197.56,197.56,2129.0
2019-02-04 10:05:00,197.6,197.6,197.56,197.56,2976.0
2019-02-04 10:06:00,197.5,197.5,197.36,197.36,5936.0
2019-02-04 10:07:00,197.54,197.54,197.54,197.54,2167.0
2019-02-04 10:08:00,197.53,197.53,197.53,197.53,1429.0
2019-02-04 10:09:00,197.49,197.52,197.39,197.5,9640.0
2019-02-04 10:10:00,197.42,197.42,197.42,197.42,2307.0
2019-02-04 10:11:00,197.37,197.42,197.37,197.42,3921.0
2019-02-04 10:12:00,197.5,197.6,197.5,197.6,6377.0
2019-02-04 10:13:00,197.6575,197.6575,197.6575,197.6575,3100.0
2019-02-04 10:14:00,197.81,197.83,197.81,197.83,4106.0
2019-02-04 10:15:00,197.76,197.76,197.73,197.73,3929.0
2019-02-04 10:16:00,197.68,197.68,197.68,197.68,1269.0
2019-02-04 10:17:00,197.57,197.57,197.57,197.57,1168.0
2019-02-04 10:18:00,197.5,197.5,197.46,197.46,4482.0
2019-02-04 10:19:00,197.5,197.5,197.5,197.5,1355.0
2019-02-04 10:20:00,197.37,197.37,197.22,197.22,2579.0
2019-02-04 10:21:00,197.2,197.2,197.2,197.2,1345.0
