date,SMA
2019-03-04 10:50,177.0684
2019-03-04 10:51,177.081
2019-03-04 10:52,177.0928
2019-03-04 10:53,177.0955
2019-03-04 10:54,177.1015
2019-03-04 10:55,177.1049
2019-03-04 10:56,177.1094
2019-03-04 10:57,177.1127
2019-03-04 10:58,177.1124
2019-03-04 10:59,177.1098
2019-03-04 11:00,177.1066
2019-03-04 11:01,177.1022
2019-03-04 11:02,177.097
2019-03-04 11:03,177.0922
2019-03-04 11:04,177.087
2019-03-04 11:05,177.0799
2019-03-04 11:06,177.074
2019-03-04 11:07,177.0667
2019-03-04 11:08,177.0575
2019-03-04 11:09,177.0442
2019-03-04 11:10,177.0323
2019-03-04 11:11,177.0228
2019-03-04 11:12,177.0143
2019-03-04 11:13,177.0049
2019-03-04 11:14,176.9952
2019-03-04 11:15,176.9832
2019-03-04 11:16,176.9719
2019-03-04 11:17,176.9619
2019-03-04 11:18,176.9508
2019-03-04 11:19,176.9381
2019-03-04 11:20,176.9284
2019-03-04 11:21,176.9181
2019-03-04 11:22,176.906
2019-03-04 11:23,176.8944
2019-03-04 11:24,176.8796
2019-03-04 11:25,176.8652
2019-03-04 11:26,176.8514
2019-03-04 11:27,176.8388
2019-03-04 11:28,176.8278
2019-03-04 11:29,176.8176
2019-03-04 11:30,176.8083
2019-03-04 11:31,176.8005
2019-03-04 11:32,176.7948
2019-03-04 11:33,176.7865
2019-03-04 11:34,176.7781
2019-03-04 11:35,176.768
2019-03-04 11:36,176.7596
2019-03-04 11:37,176.7504
2019-03-04 11:38,176.7404
2019-03-04 11:39,176.7291
2019-03-04 11:40,176.7175
2019-03-04 11:41,176.7028
2019-03-04 11:42,176.6851
2019-03-04 11:43,176.6634
2019-03-04 11:44,176.6389
2019-03-04 11:45,176.6121
2019-03-04 11:46,176.5873
2019-03-04 11:47,176.5642
2019-03-04 11:48,176.5382
2019-03-04 11:49,176.5151
2019-03-04 11:50,176.4913
2019-03-04 11:51,176.4678
2019-03-04 11:52,176.4442
2019-03-04 11:53,176.4201
