date,SMA
2019-01-18 10:50,149.9016
2019-01-18 10:51,149.9187
2019-01-18 10:52,149.9411
2019-01-18 10:53,149.9633
2019-01-18 10:54,149.9869
2019-01-18 10:55,150.0153
2019-01-18 10:56,150.0393
2019-01-18 10:57,150.0685
2019-01-18 10:58,150.0956
2019-01-18 10:59,150.124
2019-01-18 11:00,150.1551
2019-01-18 11:01,150.1912
2019-01-18 11:02,150.2295
2019-01-18 11:03,150.2652
2019-01-18 11:04,150.3004
2019-01-18 11:05,150.3378
2019-01-18 11:06,150.3764
2019-01-18 11:07,150.414
2019-01-18 11:08,150.4515
2019-01-18 11:09,150.4881
2019-01-18 11:10,150.5266
2019-01-18 11:11,150.56
2019-01-18 11:12,150.5912
2019-01-18 11:13,150.6213
2019-01-18 11:14,150.6509
2019-01-18 11:15,150.6793
2019-01-18 11:16,150.709
2019-01-18 11:17,150.7397
2019-01-18 11:18,150.7715
2019-01-18 11:19,150.802
2019-01-18 11:20,150.8319
2019-01-18 11:21,150.8599
2019-01-18 11:22,150.8889
2019-01-18 11:23,150.9196
2019-01-18 11:24,150.9486
2019-01-18 11:25,150.9753
2019-01-18 11:26,151.0048
2019-01-18 11:27,151.0313
2019-01-18 11:28,151.0582
2019-01-18 11:29,151.0854
2019-01-18 11:30,151.1135
2019-01-18 11:31,151.1408
2019-01-18 11:32,151.1675
2019-01-18 11:33,151.1928
2019-01-18 11:34,151.2204
2019-01-18 11:35,151.249
2019-01-18 11:36,151.2784
2019-01-18 11:37,151.3086
2019-01-18 11:38,151.3416
2019-01-18 11:39,151.3731
2019-01-18 11:40,151.4029
2019-01-18 11:41,151.4309
2019-01-18 11:42,151.4569
2019-01-18 11:43,151.4828
2019-01-18 11:44,151.5048
2019-01-18 11:45,151.5244
2019-01-18 11:46,151.5457
2019-01-18 11:47,151.5676
2019-01-18 11:48,151.5894
2019-01-18 11:49,151.6101
2019-01-18 11:50,151.6291
2019-01-18 11:51,151.6458
2019-01-18 11:52,151.6639
2019-01-18 11:53,151.6813
2019-01-18 11:54,151.6972
2019-01-18 11:55,151.7123
2019-01-18 11:56,151.7268
2019-01-18 11:57,151.7424
2019-01-18 11:58,151.7548
2019-01-18 11:59,151.7711
2019-01-18 12:00,151.7872
2019-01-18 12:01,151.8041
2019-01-18 12:02,151.8206
2019-01-18 12:03,151.8373
2019-01-18 12:04,151.8514
2019-01-18 12:05,151.8646
2019-01-18 12:06,151.8765
2019-01-18 12:07,151.8847
2019-01-18 12:08,151.8904
2019-01-18 12:09,151.8966
2019-01-18 12:10,151.9059
2019-01-18 12:11,151.9157
2019-01-18 12:12,151.9237
2019-01-18 12:13,151.9292
2019-01-18 12:14,151.9352
2019-01-18 12:15,151.9415
2019-01-18 12:16,151.9465
2019-01-18 12:17,151.9478
2019-01-18 12:18,151.9497
2019-01-18 12:19,151.9509
2019-01-18 12:20,151.9503
2019-01-18 12:21,151.9495
2019-01-18 12:22,151.9472
2019-01-18 12:23,151.945
2019-01-18 12:24,151.9408
2019-01-18 12:25,151.9349
2019-01-18 12:26,151.928
2019-01-18 12:27,151.9208
2019-01-18 12:28,151.9136
2019-01-18 12:29,151.9066
2019-01-18 12:30,151.8994
2019-01-18 12:31,151.8976
2019-01-18 12:32,151.8989
2019-01-18 12:33,151.9003
2019-01-18 12:34,151.9
2019-01-18 12:35,151.9
2019-01-18 12:36,151.8995
2019-01-18 12:37,151.8982
2019-01-18 12:38,151.8948
2019-01-18 12:39,151.891
2019-01-18 12:40,151.8869
2019-01-18 12:41,151.8829
2019-01-18 12:42,151.8779
2019-01-18 12:43,151.8735
2019-01-18 12:44,151.8666
2019-01-18 12:45,151.861
2019-01-18 12:46,151.8534
2019-01-18 12:47,151.847
2019-01-18 12:48,151.8402
2019-01-18 12:49,151.8331
2019-01-18 12:50,151.826
2019-01-18 12:51,151.818
2019-01-18 12:52,151.8109
2019-01-18 12:53,151.804
2019-01-18 12:54,151.7944
2019-01-18 12:55,151.7841
2019-01-18 12:56,151.7721
2019-01-18 12:57,151.7611
2019-01-18 12:58,151.7498
2019-01-18 12:59,151.7382
2019-01-18 13:00,151.7273
2019-01-18 13:01,151.7166
2019-01-18 13:02,151.7076
2019-01-18 13:03,151.6971
2019-01-18 13:04,151.6883
2019-01-18 13:05,151.6807
2019-01-18 13:06,151.6704
2019-01-18 13:07,151.6581
2019-01-18 13:08,151.6486
2019-01-18 13:09,151.6394
2019-01-18 13:10,151.63
2019-01-18 13:11,151.6219
2019-01-18 13:12,151.6124
2019-01-18 13:13,151.6021
2019-01-18 13:14,151.5917
2019-01-18 13:15,151.5831
2019-01-18 13:16,151.5744
2019-01-18 13:17,151.5637
2019-01-18 13:18,151.5533
2019-01-18 13:19,151.5411
2019-01-18 13:20,151.5293
2019-01-18 13:21,151.5161
2019-01-18 13:22,151.5016
2019-01-18 13:23,151.4866
2019-01-18 13:24,151.4728
2019-01-18 13:25,151.4591
2019-01-18 13:26,151.4446
2019-01-18 13:27,151.4293
2019-01-18 13:28,151.415
2019-01-18 13:29,151.4012
2019-01-18 13:30,151.3851
2019-01-18 13:31,151.3684
2019-01-18 13:32,151.3523
2019-01-18 13:33,151.3366
2019-01-18 13:34,151.3203
2019-01-18 13:35,151.3039
2019-01-18 13:36,151.2892
2019-01-18 13:37,151.2776
2019-01-18 13:38,151.265
2019-01-18 13:39,151.2531
2019-01-18 13:40,151.2425
2019-01-18 13:41,151.231
2019-01-18 13:42,151.2161
2019-01-18 13:43,151.2008
2019-01-18 13:44,151.1866
2019-01-18 13:45,151.1707
2019-01-18 13:46,151.1567
2019-01-18 13:47,151.1432
2019-01-18 13:48,151.1302
2019-01-18 13:49,151.1167
2019-01-18 13:50,151.1029
2019-01-18 13:51,151.0888
2019-01-18 13:52,151.0733
2019-01-18 13:53,151.0583
2019-01-18 13:54,151.0438
2019-01-18 13:55,151.0288
2019-01-18 13:56,151.014
2019-01-18 13:57,151.0002
2019-01-18 13:58,150.9853
2019-01-18 13:59,150.9722
2019-01-18 14:00,150.9592
2019-01-18 14:01,150.9459
2019-01-18 14:02,150.9331
2019-01-18 14:03,150.9199
2019-01-18 14:04,150.9082
2019-01-18 14:05,150.8966
2019-01-18 14:06,150.8859
2019-01-18 14:07,150.8757
2019-01-18 14:08,150.8669
2019-01-18 14:09,150.8575
2019-01-18 14:10,150.8471
2019-01-18 14:11,150.838
2019-01-18 14:12,150.8295
2019-01-18 14:13,150.8215
2019-01-18 14:14,150.8146
2019-01-18 14:15,150.809
2019-01-18 14:16,150.8048
2019-01-18 14:17,150.7989
2019-01-18 14:18,150.7939
2019-01-18 14:19,150.7872
2019-01-18 14:20,150.7797
2019-01-18 14:21,150.7709
2019-01-18 14:22,150.7627
2019-01-18 14:23,150.7563
2019-01-18 14:24,150.7502
2019-01-18 14:25,150.7424
2019-01-18 14:26,150.732
2019-01-18 14:27,150.7173
2019-01-18 14:28,150.6974
2019-01-18 14:29,150.6761
2019-01-18 14:30,150.6539
2019-01-18 14:31,150.6268
2019-01-18 14:32,150.5991
