date,SlowK,SlowD
2019-01-18 11:52,27.9712,23.1891
2019-01-18 11:53,43.4492,28.0826
2019-01-18 11:54,61.0972,44.1725
2019-01-18 11:55,52.4894,52.3453
2019-01-18 11:56,30.7204,48.1024
2019-01-18 11:57,39.6065,40.9388
2019-01-18 11:58,55.9763,42.1011
2019-01-18 11:59,86.0227,60.5351
2019-01-18 12:00,88.4358,76.8116
2019-01-18 12:01,92.981,89.1465
2019-01-18 12:02,95.6138,92.3436
2019-01-18 12:03,99.0746,95.8898
2019-01-18 12:04,93.1494,95.9459
2019-01-18 12:05,87.0202,93.0814
2019-01-18 12:06,66.2762,82.1486
2019-01-18 12:07,49.9791,67.7585
2019-01-18 12:08,31.7485,49.3346
2019-01-18 12:09,24.2513,35.3263
2019-01-18 12:10,16.8456,24.2818
2019-01-18 12:11,11.861,17.6526
2019-01-18 12:12,18.1114,15.606
2019-01-18 12:13,24.6615,18.2113
2019-01-18 12:14,38.6225,27.1318
2019-01-18 12:15,61.5388,41.6076
2019-01-18 12:16,76.8475,59.0029
2019-01-18 12:17,58.8976,65.7613
2019-01-18 12:18,29.8663,55.2038
2019-01-18 12:19,4.302,31.022
2019-01-18 12:20,4.5759,12.9147
2019-01-18 12:21,0.6619,3.1799
2019-01-18 12:22,13.6239,6.2872
2019-01-18 12:23,33.7213,16.0024
2019-01-18 12:24,43.138,30.1611
2019-01-18 12:25,45.8627,40.9073
2019-01-18 12:26,32.1581,40.3863
2019-01-18 12:27,25.8629,34.6279
2019-01-18 12:28,17.1192,25.0467
2019-01-18 12:29,24.3407,22.4409
2019-01-18 12:30,43.5574,28.3391
2019-01-18 12:31,69.9477,45.9486
2019-01-18 12:32,83.8362,65.7804
2019-01-18 12:33,86.9133,80.2324
2019-01-18 12:34,60.724,77.1578
2019-01-18 12:35,39.3578,62.3317
2019-01-18 12:36,19.9648,40.0156
2019-01-18 12:37,15.1201,24.8142
2019-01-18 12:38,13.5875,16.2241
2019-01-18 12:39,12.7319,13.8132
2019-01-18 12:40,10.4327,12.2507
2019-01-18 12:41,15.2779,12.8142
2019-01-18 12:42,14.2683,13.3263
2019-01-18 12:43,25.2509,18.2657
2019-01-18 12:44,15.5279,18.349
2019-01-18 12:45,16.5371,19.1053
2019-01-18 12:46,8.762,13.609
2019-01-18 12:47,16.2897,13.8629
2019-01-18 12:48,11.7151,12.2556
2019-01-18 12:49,13.84,13.9483
2019-01-18 12:50,20.598,15.3844
2019-01-18 12:51,24.0633,19.5004
2019-01-18 12:52,22.4352,22.3655
2019-01-18 12:53,14.8145,20.4376
2019-01-18 12:54,10.3694,15.873
2019-01-18 12:55,11.1087,12.0975
2019-01-18 12:56,10.3688,10.6156
2019-01-18 12:57,40.1951,20.5575
2019-01-18 12:58,60.4823,37.0154
2019-01-18 12:59,82.5138,61.0637
2019-01-18 13:00,78.4931,73.8298
2019-01-18 13:01,83.5421,81.5163
2019-01-18 13:02,88.9188,83.6513
2019-01-18 13:03,70.0579,80.8396
2019-01-18 13:04,43.9947,67.6571
2019-01-18 13:05,21.5813,45.2113
2019-01-18 13:06,18.2397,27.9386
2019-01-18 13:07,14.523,18.1147
2019-01-18 13:08,29.6894,20.8174
2019-01-18 13:09,45.134,29.7821
2019-01-18 13:10,55.2448,43.3561
2019-01-18 13:11,44.3247,48.2345
2019-01-18 13:12,29.7853,43.1183
2019-01-18 13:13,22.3905,32.1668
2019-01-18 13:14,7.2242,19.8
2019-01-18 13:15,16.9171,15.5106
2019-01-18 13:16,14.2011,12.7808
2019-01-18 13:17,24.4593,18.5258
2019-01-18 13:18,26.0524,21.5709
2019-01-18 13:19,44.0023,31.5047
2019-01-18 13:20,65.2713,45.1087
2019-01-18 13:21,82.8104,64.028
2019-01-18 13:22,77.669,75.2502
2019-01-18 13:23,59.4738,73.3177
2019-01-18 13:24,51.142,62.7616
2019-01-18 13:25,69.5848,60.0669
2019-01-18 13:26,72.6846,64.4705
2019-01-18 13:27,53.5652,65.2782
2019-01-18 13:28,33.0985,53.1161
2019-01-18 13:29,24.5101,37.0579
2019-01-18 13:30,25.4073,27.672
2019-01-18 13:31,20.7474,23.5549
2019-01-18 13:32,21.9944,22.7164
2019-01-18 13:33,25.821,22.8543
2019-01-18 13:34,32.0006,26.6053
2019-01-18 13:35,52.9119,36.9111
2019-01-18 13:36,75.6393,53.5172
2019-01-18 13:37,95.768,74.7731
2019-01-18 13:38,89.6978,87.035
2019-01-18 13:39,77.8697,87.7785
2019-01-18 13:40,69.2463,78.9379
2019-01-18 13:41,53.1596,66.7585
2019-01-18 13:42,31.6544,51.3535
2019-01-18 13:43,10.4764,31.7635
2019-01-18 13:44,8.0368,16.7226
2019-01-18 13:45,12.2977,10.2703
2019-01-18 13:46,24.1337,14.8227
2019-01-18 13:47,37.4783,24.6366
2019-01-18 13:48,55.2063,38.9395
2019-01-18 13:49,65.2093,52.6313
2019-01-18 13:50,73.9081,64.7746
2019-01-18 13:51,82.9514,74.0229
2019-01-18 13:52,80.631,79.1635
2019-01-18 13:53,69.849,77.8105
2019-01-18 13:54,47.589,66.023
2019-01-18 13:55,32.7899,50.076
2019-01-18 13:56,20.666,33.6817
2019-01-18 13:57,18.9126,24.1229
2019-01-18 13:58,19.7945,19.7911
2019-01-18 13:59,24.7389,21.1487
2019-01-18 14:00,25.9527,23.4954
2019-01-18 14:01,28.4634,26.385
2019-01-18 14:02,39.4561,31.2907
2019-01-18 14:03,45.5069,37.8088
2019-01-18 14:04,49.5796,44.8475
2019-01-18 14:05,43.9158,46.3341
2019-01-18 14:06,44.4482,45.9812
2019-01-18 14:07,62.9655,50.4432
2019-01-18 14:08,81.4827,62.9655
2019-01-18 14:09,90.4752,78.3078
2019-01-18 14:10,68.2567,80.0715
2019-01-18 14:11,49.7394,69.4904
2019-01-18 14:12,44.4482,54.1481
2019-01-18 14:13,58.3317,50.8398
2019-01-18 14:14,65.0847,55.9549
2019-01-18 14:15,79.9007,67.7724
2019-01-18 14:16,87.2261,77.4038
2019-01-18 14:17,98.9904,88.7057
2019-01-18 14:18,98.9904,95.069
2019-01-18 14:19,90.0493,96.0101
2019-01-18 14:20,66.3395,85.1264
2019-01-18 14:21,41.3624,65.9171
2019-01-18 14:22,43.8201,50.5074
2019-01-18 14:23,54.5557,46.5794
2019-01-18 14:24,69.8647,56.0802
2019-01-18 14:25,49.9708,58.1304
2019-01-18 14:26,44.5931,54.8095
2019-01-18 14:27,22.7396,39.1011
2019-01-18 14:28,16.7932,28.042
2019-01-18 14:29,6.9227,15.4852
2019-01-18 14:30,8.321,10.679
2019-01-18 14:31,10.5049,8.5829
2019-01-18 14:32,12.5217,10.4492
2019-01-18 14:33,19.2128,14.0798
2019-01-18 14:34,37.7772,23.1706
2019-01-18 14:35,36.8716,31.2872
2019-01-18 14:36,40.5601,38.403
2019-01-18 14:37,35.9223,37.7847
2019-01-18 14:38,43.8245,40.1023
2019-01-18 14:39,50.5741,43.4403
2019-01-18 14:40,67.7969,54.0651
2019-01-18 14:41,85.4546,67.9418
2019-01-18 14:42,86.5764,79.9426
2019-01-18 14:43,65.6809,79.2373
2019-01-18 14:44,52.6124,68.2899
2019-01-18 14:45,53.8459,57.3797
2019-01-18 14:46,58.8156,55.0913
2019-01-18 14:47,64.9193,59.1936
2019-01-18 14:48,70.9353,64.8901
2019-01-18 14:49,73.5923,69.8156
2019-01-18 14:50,63.9016,69.4764
2019-01-18 14:51,56.59,64.6946
2019-01-18 14:52,69.8588,63.4501
2019-01-18 14:53,84.2557,70.2348
2019-01-18 14:54,96.1902,83.4349
2019-01-18 14:55,86.2202,88.8887
2019-01-18 14:56,71.2357,84.5487
2019-01-18 14:57,38.8292,65.4284
2019-01-18 14:58,15.4659,41.8436
2019-01-18 14:59,3.149,19.148
2019-01-18 15:00,10.3514,9.6554
2019-01-18 15:01,20.7674,11.4226
2019-01-18 15:02,24.6058,18.5749
2019-01-18 15:03,18.4378,21.2703
2019-01-18 15:04,8.0218,17.0218
2019-01-18 15:05,4.5252,10.3283
2019-01-18 15:06,8.7646,7.1039
2019-01-18 15:07,28.7643,14.0181
2019-01-18 15:08,30.9612,22.83
2019-01-18 15:09,31.1187,30.2814
2019-01-18 15:10,16.0566,26.0455
2019-01-18 15:11,40.2813,29.1522
2019-01-18 15:12,65.5908,40.6429
2019-01-18 15:13,87.1686,64.3469
2019-01-18 15:14,82.501,78.4201
2019-01-18 15:15,80.8254,83.4983
2019-01-18 15:16,76.8458,80.0574
2019-01-18 15:17,72.9974,76.8895
2019-01-18 15:18,68.595,72.8127
2019-01-18 15:19,76.0609,72.5511
2019-01-18 15:20,85.4761,76.7107
2019-01-18 15:21,73.2204,78.2525
2019-01-18 15:22,51.2996,69.9987
2019-01-18 15:23,34.5465,53.0222
2019-01-18 15:24,29.2936,38.3799
2019-01-18 15:25,26.769,30.2031
2019-01-18 15:26,34.2397,30.1008
2019-01-18 15:27,59.4921,40.1669
2019-01-18 15:28,69.1922,54.308
2019-01-18 15:29,60.9371,63.2071
2019-01-18 15:30,30.6486,53.5926
2019-01-18 15:31,35.1803,42.2553
2019-01-18 15:32,44.1425,36.6572
2019-01-18 15:33,68.2106,49.1778
2019-01-18 15:34,54.8034,55.7189
2019-01-18 15:35,48.7137,57.2426
2019-01-18 15:36,39.8653,47.7941
2019-01-18 15:37,66.8176,51.7989
2019-01-18 15:38,83.7824,63.4884
2019-01-18 15:39,92.1832,80.9277
2019-01-18 15:40,90.4289,88.7982
2019-01-18 15:41,90.2451,90.9524
2019-01-18 15:42,87.8226,89.4989
2019-01-18 15:43,89.5769,89.2149
2019-01-18 15:44,87.8809,88.4268
2019-01-18 15:45,93.4001,90.286
2019-01-18 15:46,73.704,84.995
2019-01-18 15:47,65.2392,77.4478
2019-01-18 15:48,55.7364,64.8932
2019-01-18 15:49,60.2809,60.4188
2019-01-18 15:50,52.583,56.2001
2019-01-18 15:51,50.5056,54.4565
2019-01-18 15:52,40.084,47.7242
2019-01-18 15:53,39.2622,43.2839
2019-01-18 15:54,42.2814,40.5425
2019-01-18 15:55,65.8203,49.1213
2019-01-18 15:56,81.7839,63.2952
2019-01-18 15:57,84.1469,77.2504
2019-01-18 15:58,82.6097,82.8468
2019-01-18 15:59,86.6593,84.472
2019-01-18 16:00,88.0945,85.7878
2019-01-22 09:31,75.7491,83.501
2019-01-22 09:32,66.9527,76.9321
2019-01-22 09:33,66.9535,69.8851
2019-01-22 09:34,73.6108,69.1723
2019-01-22 09:35,62.4726,67.679
2019-01-22 09:36,69.8209,68.6348
2019-01-22 09:37,79.0802,70.4579
2019-01-22 09:38,92.9662,80.6225
2019-01-22 09:39,89.4808,87.1758
2019-01-22 09:40,88.0224,90.1565
2019-01-22 09:41,81.2506,86.2513
2019-01-22 09:42,52.3878,73.8869
2019-01-22 09:43,23.5431,52.3938
2019-01-22 09:44,20.7071,32.2127
2019-01-22 09:45,39.6564,27.9689
2019-01-22 09:46,56.3227,38.8954
2019-01-22 09:47,57.8347,51.2713
2019-01-22 09:48,43.0529,52.4034
2019-01-22 09:49,32.0813,44.323
2019-01-22 09:50,15.2178,30.1173
2019-01-22 09:51,11.0503,19.4498
2019-01-22 09:52,11.5212,12.5964
2019-01-22 09:53,18.8729,13.8148
2019-01-22 09:54,25.7514,18.7152
2019-01-22 09:55,35.4081,26.6774
2019-01-22 09:56,49.9738,37.0444
2019-01-22 09:57,76.4286,53.9368
2019-01-22 09:58,83.354,69.9188
2019-01-22 09:59,91.1869,83.6565
2019-01-22 10:00,87.4158,87.3189
2019-01-22 10:01,88.0269,88.8765
2019-01-22 10:02,89.2845,88.2424
2019-01-22 10:03,82.136,86.4825
2019-01-22 10:04,83.0694,84.83
2019-01-22 10:05,83.0694,82.7582
2019-01-22 10:06,86.166,84.1016
2019-01-22 10:07,75.7116,81.649
2019-01-22 10:08,52.7922,71.5566
2019-01-22 10:09,29.501,52.6683
2019-01-22 10:10,21.6808,34.658
2019-01-22 10:11,35.7116,28.9645
2019-01-22 10:12,65.2867,40.893
2019-01-22 10:13,73.1402,58.0462
2019-01-22 10:14,58.1153,65.5141
2019-01-22 10:15,26.3212,52.5256
2019-01-22 10:16,9.8077,31.4147
2019-01-22 10:17,5.825,13.9846
2019-01-22 10:18,11.0732,8.902
2019-01-22 10:19,17.0578,11.3187
2019-01-22 10:20,26.2039,18.1116
2019-01-22 10:21,52.2891,31.8502
2019-01-22 10:22,71.9774,50.1568
2019-01-22 10:23,88.3107,70.8591
2019-01-22 10:24,81.8602,80.7161
2019-01-22 10:25,68.5265,79.5658
2019-01-22 10:26,70.9432,73.7766
2019-01-22 10:27,68.9361,69.4686
2019-01-22 10:28,61.5685,67.1493
2019-01-22 10:29,32.4771,54.3273
2019-01-22 10:30,13.2375,35.7611
2019-01-22 10:31,16.9686,20.8944
2019-01-22 10:32,23.2193,17.8085
2019-01-22 10:33,22.2633,20.8171
2019-01-22 10:34,20.9812,22.1546
2019-01-22 10:35,25.9491,23.0646
2019-01-22 10:36,26.2196,24.3833
2019-01-22 10:37,19.4878,23.8855
2019-01-22 10:38,17.3617,21.023
2019-01-22 10:39,37.0304,24.6266
2019-01-22 10:40,63.3834,39.2585
2019-01-22 10:41,73.8583,58.0907
2019-01-22 10:42,65.7692,67.6703
2019-01-22 10:43,53.1544,64.2607
2019-01-22 10:44,57.344,58.7559
2019-01-22 10:45,65.0346,58.511
2019-01-22 10:46,83.5532,68.6439
2019-01-22 10:47,84.4433,77.677
2019-01-22 10:48,77.0371,81.6779
2019-01-22 10:49,62.5931,74.6912
2019-01-22 10:50,59.6304,66.4202
2019-01-22 10:51,78.1491,66.7909
2019-01-22 10:52,79.8276,72.5357
2019-01-22 10:53,65.9589,74.6452
2019-01-22 10:54,32.6256,59.4707
